N,nbFun,estParam,counteval,success,nbSplit,nbMerge,dt,ft,cdiv,recovery,tooYoung,mud,maxV
4, 2, recovery, 2000.000000, 1, 1, 1, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 3, recovery, 2624.000000, 1, 1, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 2, recovery, 2208.000000, 1, 1, 1, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 3, recovery, 2624.000000, 1, 1, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
2, 3, recovery, 1416.000000, 1, 16, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
4, 2, recovery, 2000.000000, 1, 1, 1, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
2, 1, recovery, 1110.000000, 1, 11, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
2, 2, recovery, 1110.000000, 1, 11, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
5, 0, recovery, 1160.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
2, 1, recovery, 1110.000000, 1, 11, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
4, 2, recovery, 2000.000000, 1, 1, 1, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
5, 0, recovery, 1160.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
2, 1, recovery, 1110.000000, 1, 11, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
4, 2, recovery, 2208.000000, 1, 1, 1, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
2, 2, recovery, 1110.000000, 1, 11, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
5, 0, recovery, 1144.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
3, 0, recovery, 728.000000, 1, 0, 0, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
2, 1, recovery, 1110.000000, 1, 11, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
3, 0, recovery, 728.000000, 1, 0, 0, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
5, 0, recovery, 1144.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 0, recovery, 1144.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 0, recovery, 1144.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
4, 1, recovery, 2192.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
5, 0, recovery, 1144.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
6, 0, recovery, 1404.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
5, 0, recovery, 1144.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 0, recovery, 1144.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 0, recovery, 1144.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
3, 0, recovery, 728.000000, 1, 0, 0, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
6, 0, recovery, 1404.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
6, 0, recovery, 1404.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
3, 0, recovery, 728.000000, 1, 0, 0, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
2, 0, recovery, 180.000000, 1, 4, 4, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
4, 1, recovery, 2192.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
5, 2, recovery, 2712.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 2, recovery, 2712.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 2, recovery, 2712.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
2, 0, recovery, 180.000000, 1, 4, 4, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
4, 0, recovery, 992.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 0, recovery, 992.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
6, 2, recovery, 3663.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
5, 2, recovery, 2712.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 2, recovery, 2712.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
4, 2, recovery, 2208.000000, 1, 1, 1, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
6, 1, recovery, 3546.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
4, 1, recovery, 2192.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
2, 0, recovery, 180.000000, 1, 4, 4, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
5, 2, recovery, 2712.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 2, recovery, 2712.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
6, 2, recovery, 3663.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
5, 2, recovery, 2712.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 2, recovery, 2712.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 2, recovery, 2712.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
5, 2, recovery, 2712.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
4, 1, recovery, 2192.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 2, recovery, 2368.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 2, recovery, 2208.000000, 1, 1, 1, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 2, recovery, 5000.000000, 1, 1, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 2, recovery, 2208.000000, 1, 1, 1, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
3, 1, recovery, 1715.000000, 1, 10, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
4, 0, recovery, 960.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
2, 1, recovery, 1110.000000, 1, 11, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
2, 1, recovery, 1110.000000, 1, 11, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
4, 2, recovery, 2208.000000, 1, 1, 1, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 2, recovery, 2208.000000, 1, 1, 1, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
3, 0, recovery, 714.000000, 1, 0, 0, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 0, recovery, 714.000000, 1, 0, 0, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
2, 2, recovery, 1110.000000, 1, 11, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
3, 0, recovery, 714.000000, 1, 0, 0, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
5, 2, recovery, 3048.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
4, 0, recovery, 960.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
2, 0, recovery, 180.000000, 1, 4, 4, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
4, 0, recovery, 960.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 0, recovery, 960.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
3, 0, recovery, 714.000000, 1, 0, 0, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
5, 2, recovery, 2712.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
4, 2, recovery, 2208.000000, 1, 1, 1, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 0, recovery, 960.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 0, recovery, 960.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
5, 2, recovery, 3048.000000, 1, 0, 0, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
4, 0, recovery, 960.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
2, 3, recovery, 1416.000000, 1, 16, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
2, 2, recovery, 1110.000000, 1, 11, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
3, 0, recovery, 714.000000, 1, 0, 0, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 0, recovery, 714.000000, 1, 0, 0, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 0, recovery, 714.000000, 1, 0, 0, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
6, 1, recovery, 3942.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
4, 0, recovery, 960.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 0, recovery, 960.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
3, 1, recovery, 1715.000000, 1, 10, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
4, 2, recovery, 2200.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 2, recovery, 2200.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 2, recovery, 2200.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 2, recovery, 2200.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 2, recovery, 2200.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
3, 1, recovery, 1715.000000, 1, 10, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
5, 1, recovery, 3080.000000, 1, 1, 1, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
3, 1, recovery, 1715.000000, 1, 10, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 1, recovery, 1715.000000, 1, 10, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
2, 3, recovery, 1416.000000, 1, 16, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
3, 2, recovery, 1876.000000, 1, 7, 7, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
5, 2, recovery, 2616.000000, 1, 1, 1, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
3, 1, recovery, 1771.000000, 1, 11, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 2, recovery, 1876.000000, 1, 7, 7, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
5, 2, recovery, 2616.000000, 1, 1, 1, 1.276934, 0.443250, 0.500000, 0, 10, 2, 7
3, 1, recovery, 1715.000000, 1, 10, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
2, 3, recovery, 1416.000000, 1, 16, 5, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
3, 1, recovery, 1715.000000, 1, 10, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 1, recovery, 1715.000000, 1, 10, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 2, recovery, 1876.000000, 1, 7, 7, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 2, recovery, 1876.000000, 1, 7, 7, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 1, recovery, 1715.000000, 1, 10, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 2, recovery, 1876.000000, 1, 7, 7, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 1, recovery, 1771.000000, 1, 11, 6, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 2, recovery, 1876.000000, 1, 7, 7, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 2, recovery, 1876.000000, 1, 7, 7, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 2, recovery, 1876.000000, 1, 7, 7, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 2, recovery, 1876.000000, 1, 7, 7, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
